Name of College,Type,State,Population Density,Enrollment,Asian,African American,Caucasian,Hispanic,Native American,Pacific Islander,Graduate in 4 years,Graduate in 6 years,Average high school GPA,SAT Math Range,SAT English Reading Wrting,ACT Range,English Units,Math Units,Science Units,Science Lab Units,World Language Units,Social Studies Units,Applicants,Admissions Rate,Enrollment Rate,Accepts Common App,"Early Decision, Admit, Priority",Early Due Date,Regular Due Date,Annual Tuition,Room and Board,Requires CSS,Average Cumulative Debt,PLUS Debt Ratio,Net Present Value (10 Years)
Valparaiso University,,Indiana,2035,3213,2.00%,6%,71%,10%,1%,1%,62%,72%,3.70,640,630,23-29,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,7954,84%,12%,Yes,Priority,12/1/2025,,$39000,,No,$37294,,$86000
Vanderbilt University,,Tennessee,1300,6856,13.00%,10%,48%,10%,1%,1%,86%,92%,3.80,790,760,32-35,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,31462,11%,47%,Yes,Decision,1/1/2025,1/1/2025,$46500,$15584,Yes,$24122,,$169000
Vandercook College of Music,Art,Illinois,11898,90,3.00%,3%,59%,24%,0%,1%,57%,76%,3.00,540,530,21-29,3.0,,"Biology, Chemistry",Biology,2,3,38,100%,39%,No,Priority,4/1/2025,,$26458,$12074,No,$47042,,
Vassar College,,New York,5700,2323,13.00%,4%,57%,11%,1%,0%,85%,90%,3.96,760,750,31-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,2,7746,24%,34%,Yes,Decision,11/15/2025,1/1/2025,$54410,$12900,Yes,$17847,,$81000
Villanova University,,Pennsylvania,1565,6857,6.00%,5%,74%,8%,1%,0%,87%,90%,3.80,730,710,30-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",2,2,50554,24%,34%,Yes,,11/1/2025,1/15/2025,$33588,,No,,,$103000
Virginia Military Institute ,Military,Virginia,2844,1722,4.00%,6%,79%,7%,1%,1%,63%,77%,3.70,640,640,23-28,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,2,1718,53%,49%,,,,2/1/2025,$41801,,No,,,$143000
Virginia Polytechnic Institute and State University,,Virginia,2259,27120,10.00%,4%,66%,6%,1%,1%,63%,84%,3.75,690,670,25-30,4.0,,"Biology, Chemistry","Biology, Chemistry",3,1,27423,70%,36%,No,Admit,12/1/2025,1/15/2025,$28273,$8690,No,$28873,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$142000
Wabash College,,Indiana,1673,861,1.00%,6%,73%,8%,1%,0%,72%,77%,3.70,650,630,23-28,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,1304,63%,28%,Yes,Admit,12/1/2025,1/15/2025,$42800,$9850,No,$32916,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$155000
Wagner College,,New York,8196,1793,3.00%,8%,66%,11%,1%,1%,63%,70%,3.60,630,620,23-30,4.0,,"Biology, Chemistry",Biology,2,3,2834,70%,22%,Yes,Admit,12/1/2025,2/15/2025,$44800,$13650,No,,,$77000
Wake Forest University,,North Carolina,2200,5101,4.00%,7%,70%,7%,1%,1%,84%,88%,3.83,730,710,28-32,4.0,,Biology,Biology,2,2,13071,28%,37%,Yes,Decision,11/15/2025,1/1/2025,$52348,$16032,Yes,$36546,,$86000
Washington & Jefferson College,,Pennsylvania,4602,1378,2.00%,5%,75%,5%,1%,1%,67%,70%,3.70,640,650,23-28,3.0,,Biology,Biology,2,2,5358,48%,13%,Yes,Admit,1/15/2025,3/1/2025,$44900,,No,,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$76000
Washington and Lee University,,Virginia,2844,1819,3.00%,2%,83%,5%,0%,0%,89%,92%,3.90,750,740,31-33,4.0,,Biology,Biology,3,1,5455,22%,39%,Yes,Decision,11/1/2025,1/1/2025,$49170,,Yes,$21683,,$152000
Washington College,,Maryland,1837,1449,3.00%,8%,69%,6%,1%,1%,73%,76%,3.70,630,670,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,5515,48%,14%,Yes,Admit,12/1/2025,2/15/2025,$43842,,No,$36991,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$56000
Washington University in St. Louis,,Missouri,4986,7253,17.00%,8%,52%,9%,1%,1%,88%,94%,4.00,800,770,32-34,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,30463,16%,37%,Yes,Decision,11/1/2025,1/2/2025,$52400,$16440,Yes,$23577,,$134000
Webb Institute ,,New York,4108,98,11.00%,0%,81%,1%,0%,0%,68%,77%,3.95,790,750,30-34,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,106,35%,76%,No,Decision,10/15/2025,2/1/2025,$49750,$14750,No,,,
Wellesley College,,Massachusetts,2700,2375,23.00%,6%,39%,12%,1%,0%,78%,90%,3.90,770,760,30-33,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",4,4,5666,22%,48%,Yes,Decision,11/1/2025,1/15/2025,$48802,,Yes,$12455,,$119000
Wesleyan University,,Connecticut,1200,2887,8.00%,6%,54%,11%,1%,1%,85%,89%,3.76,760,740,29-33,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,12360,16%,38%,Yes,Decision,11/15/2025,1/1/2025,$50912,,Yes,$22495,,$55000
West Chester University of Pennsylvania,,Pennsylvania,10867,14435,2.00%,11%,75%,6%,1%,1%,49%,73%,3.40,600,610,21-26,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,12667,69%,30%,Yes,Priority,2/1/2025,,$22236,,No,$33814,,$81000
Wheaton College (IL),,Illinois,4726,2356,9.00%,3%,75%,6%,1%,0%,80%,89%,3.70,690,720,27-32,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,3,1693,85%,40%,Yes,,,1/10/2025,$36420,$10180,No,$27354,,$46000
Wheaton College (MA),,Massachusetts,640,1677,5.00%,6%,65%,8%,1%,1%,74%,78%,3.40,670,680,26-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,6089,48%,17%,Yes,,11/15/2025,1/15/2025,$50520,$12968,Yes,$33040,"According to data provided by the Chronicle for Higher Education, this school has a high debt ratio for parent PLUS loans.",$50000
Whitworth University,,Washington,3157,2227,5.00%,2%,70%,9%,1%,1%,65%,75%,3.80,650,660,23-29,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry",2,2,3166,89%,18%,Yes,Admit,11/15/2025,3/1/2025,$41086,$11496,No,$28294,,$37000
Willamette University,,Oregon,3228,1772,9.00%,2%,61%,13%,1%,1%,66%,73%,3.80,660,680,26-31,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry",4,4,4484,89%,11%,Yes,,11/15/2025,1/15/2025,$49750,$12440,No,$29766,,$47000
Williams College,,Massachusetts,166,2030,13.00%,8%,51%,13%,1%,0%,86%,94%,3.95,790,780,31-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,8593,15%,44%,Yes,Decision,11/15/2025,1/1/2025,$51790,,Yes,$15687,,$109000
Wofford College,,South Carolina,2066,1582,2.00%,8%,79%,4%,1%,1%,77%,81%,3.70,650,660,24-30,4.0,,"Biology, Chemistry, Physics","Biology, Chemistry, Physics",3,3,3092,69%,21%,Yes,Admit,11/15/2025,1/15/2025,$42335,$12685,No,$31102,,$84000
Worcester Polytechnic Institute,,Massachusetts,4700,4337,3.00%,3%,64%,9%,1%,0%,82%,89%,3.90,730,710,28-32,4.0,,"Biology, Chemistry","Biology, Chemistry",2,2,10331,49%,22%,Yes,Admit,1/1/2025,2/1/2025,$47988,$14218,Yes,,,$133000
Yale University,,Connecticut,6956,5532,17.00%,7%,47%,11%,1%,1%,87%,96%,4.00,800,800,31-35,4.0,,"Biology, Chemistry, Physics, Other","Biology, Chemistry, Physics",4,4,30236,7%,67%,Yes,Admit,11/1/2025,1/2/2025,$49480,$15170,Yes,$15521,,$218000
